Год янв фев мар апр май июн июл авг сен окт ноя дек средняя 
1872 -18 -11.6 -2.6 3.6 8.8 13.8 18.1 18.5 15.4 9.6 -0.1 -10.4 3.8 
1873 -17.4 -12.7 -5.7 2.2 7.9 12.6 18 19.9 14 7.6 -2.1 -11.2 2.8 
1874 -12.6 -8.8 -3.1 4.8 8.8 14.4 20.1 21 15.9 8.2 -2.2 -9.8 4.7 
1875 -13 -10.3 -0.5 3 9.2 14.6 20 19.6 17 9.1 -1.8 -10.3 4.7 
1876 -14.6 -8.7 -2.1 5.3 10.7 12.8 21 21.8 15 10.8 -2.9 -13 4.7 
1877 -11.2 -12.4 -1.4 4.8 9.4 15.4 19.2 20.2 16.6 9.8 -0.4 -8.4 5.1 
1878 -14.9 -9.9 -1 4.8 9.6 14 19.4 21.4 17.5 8.7 -3.6 -15.8 4.2 
1879 -14.6 -10.8 -4.8 1 8.7 14.6 20.3 21.8 17.2 8.3 0.2 -5.7 4.7 
1880 -15.2 -9.5 -1.8 4.1 9.8 12.8 19.1 22.4 17.2 7.8 1.8 -9.1 5 
1881 -16.3 -11.2 -5.8 4.5 10.2 14.5 18.4 21 17.1 9.5 -0.1 -10.3 4.3 
1882 -10.1 -8.8 -2.9 4 9.1 13.5 18.3 21 17.4 10.8 -1.8 -12.4 4.8 
1883 -14.2 -11.8 -3.7 3.1 8.7 13.4 19.6 22.3 14.9 10.1 -1.7 -9.7 4.3 
1884 -13.1 -9.3 -4.9 2.8 7.2 11.3 16.6 18.5 16.1 6.4 -2.5 -13.3 3 
1885 -14.7 -11.7 -3.5 2.9 9.2 14 16 20.5 15.3 9.4 -1.9 -8.4 3.9 
1886 -16 -10.7 -2.1 5.5 9.8 14.9 18.6 21.4 15.5 9.8 0 -7.4 4.9 
1887 -16.2 -8.1 -2.2 4.6 7.6 10.9 18 21.4 16 9.5 0.4 -8.9 4.4 
1888 -13.1 -14.9 -3.6 4.1 9.6 12.7 18.2 20.5 14.9 7.1 1 -7 4.1 
1889 -17.6 -10.1 -3.9 2.9 10.1 13.3 20 22.2 16.4 8.1 -2.7 -8.8 4.2 
1890 -15 -8.1 -1.2 5.5 10.7 13.7 19.2 21.4 18.8 10.1 1.4 -6.7 5.8 
1891 -14.1 -8.7 -1.1 4.6 9.5 12.4 18.3 19.4 16.8 10 -2.2 -10.3 4.6 
